State,District,Area,Pincode
Chandigarh,Chandigarh,Abiana,140119
Chandigarh,Chandigarh,Ajauli,140125
Chandigarh,Chandigarh,Kalitran,140133
Chandigarh,Chandigarh,Balongi,140301
Chandigarh,Chandigarh,High Court,160001
Chandigarh,Chandigarh,New Sectt chandigarh,160001
Chandigarh,Chandigarh,Vidhansadan,160001
Chandigarh,Chandigarh,Hallomajra,160002
Chandigarh,Chandigarh,Ind Area chandigarh,160002
Chandigarh,Chandigarh,New Ind area,160002
Chandigarh,Chandigarh,Ram Darbar,160002
Chandigarh,Chandigarh,Aerodrome,160003
Chandigarh,Chandigarh,Behlana,160003
Chandigarh,Chandigarh,Airforce Highground,160004
Chandigarh,Chandigarh,Sector 8 (chandgarh),160009
Chandigarh,Chandigarh,Sector 9 (chandigarh),160009
Chandigarh,Chandigarh,Sector 10 (chandigarh),160011
Chandigarh,Chandigarh,Sector 11( chandigarh),160011
Chandigarh,Chandigarh,Engg College,160012
Chandigarh,Chandigarh,Sector 12 (chandigarh),160012
Chandigarh,Chandigarh,Behlolpur,160014
Chandigarh,Chandigarh,Dadu Majra colony,160014
Chandigarh,Chandigarh,Dhanas,160014
Chandigarh,Chandigarh,Sector 14 (chandigarh),160014
Chandigarh,Chandigarh,Tira,160014
Chandigarh,Chandigarh,Sector 15 chandigarh,160015
Chandigarh,Chandigarh,Sector 16 (chandigarh),160015
Chandigarh,Chandigarh,Bus Stand,160017
Chandigarh,Chandigarh,Chandigarh.,160017
Chandigarh,Chandigarh,Govt Press chandigarh,160018
Chandigarh,Chandigarh,Sector 18 (chandigarh),160018
Chandigarh,Chandigarh,Raj Bhawan,160019
Chandigarh,Chandigarh,Sector 19 (chandigarh),160019
Chandigarh,Chandigarh,Sector 26 (chandigarh),160019
Chandigarh,Chandigarh,Sector 27 (chandigarh),160019
Chandigarh,Chandigarh,Sector 20 (chandigarh),160020
Chandigarh,Chandigarh,Sector 21 (chandigarh),160022
Chandigarh,Chandigarh,Sector 22 (chandigarh),160022
Chandigarh,Chandigarh,Sector 34 (chandigarh),160022
Chandigarh,Chandigarh,Sector 23 ( chandigarh),160023
Chandigarh,Chandigarh,Maloya Colony,160025
Chandigarh,Chandigarh,Sector 29 (chandigarh),160030
Chandigarh,Chandigarh,Sector 30 (chandigarh),160030
Chandigarh,Chandigarh,Sector 31 (chandigarh,160030
Chandigarh,Chandigarh,Sector 35 (chandigarh),160035
Chandigarh,Chandigarh,Badheri,160036
Chandigarh,Chandigarh,Sector 36 (chandigarh),160036
Chandigarh,Chandigarh,Sector 40 (chandigarh),160036
Chandigarh,Chandigarh,Sector 44 (chandigarh),160047
Chandigarh,Chandigarh,Sector 46 (chandigarh),160047
Chandigarh,Chandigarh,Sector 47 chandigarh,160047
Chandigarh,Chandigarh,Daria,160101
Chandigarh,Chandigarh,Manimajra,160101
Chandigarh,Chandigarh,Manimajra Mt,160101
Chandigarh,Chandigarh,Mhc Manimajra,160101
Chandigarh,Chandigarh,Mauli Jagran,160102
Chandigarh,Chandigarh,Raipur Kalan,160102
