,,,
State,District,Area,Pincode
Puducherry,Pondicherry,Abishegapakkam,605007
Puducherry,Pondicherry,Ariyankuppam,605007
Puducherry,Pondicherry,Arumbarthapuram,605110
Puducherry,Pondicherry,Bahoor,607402
Puducherry,Pondicherry,Bommayarpalayam,605104
Puducherry,Pondicherry,Botanical Garden,605001
Puducherry,Pondicherry,Calapet,605014
Puducherry,Pondicherry,Courivinatham,607402
Puducherry,Pondicherry,Dhanvantry Nagar,605006
Puducherry,Pondicherry,Embalam,605106
Puducherry,Pondicherry,Irumbai,605111
Puducherry,Pondicherry,Karayamputhur,605106
Puducherry,Pondicherry,Karikalambakkam,605007
Puducherry,Pondicherry,Kariyamanikam,605106
Puducherry,Pondicherry,Kijour,605106
Puducherry,Pondicherry,Kilpudupattu,605014
Puducherry,Pondicherry,Kilsirivi,604301
Puducherry,Pondicherry,Kirumambakkam,607402
Puducherry,Pondicherry,Korkadu,605110
Puducherry,Pondicherry,Kottakuppam,605104
Puducherry,Pondicherry,Kuilapalayam,605101
Puducherry,Pondicherry,Lawspet,605008
Puducherry,Pondicherry,Maducore,605105
Puducherry,Pondicherry,Manamedu,607402
Puducherry,Pondicherry,Manapeth,607402
Puducherry,Pondicherry,Mandagapet,605106
Puducherry,Pondicherry,Mangalam,605110
Puducherry,Pondicherry,Mannadipattu,605501
Puducherry,Pondicherry,Morattandi,605101
Puducherry,Pondicherry,Mottoupalayam,605009
Puducherry,Pondicherry,Mouroungapakkam,605004
Puducherry,Pondicherry,Moutrepaleam,605009
Puducherry,Pondicherry,Mudaliarpet,605004
Puducherry,Pondicherry,Muthialpet,605003
Puducherry,Pondicherry,Mutrampattu,605501
Puducherry,Pondicherry,Nallavadu,605007
Puducherry,Pondicherry,Nellithoppe,605005
Puducherry,Pondicherry,Nettapakkam,605106
Puducherry,Pondicherry,Odiensalai,605001
Puducherry,Pondicherry,Ozhugarai,605010
Puducherry,Pondicherry,Padmin nagar,605012
Puducherry,Pondicherry,Pakkam,605106
Puducherry,Pondicherry,Pandakkal,673310
Puducherry,Pondicherry,Pillaichavady,605014
Puducherry,Pondicherry,Pillayarkuppam,607402
Puducherry,Pondicherry,Pondicherry,605001
Puducherry,Pondicherry,Pondicherry Bazaar,605001
Puducherry,Pondicherry,Pondicherry Courts,605001
Puducherry,Pondicherry,Pondicherry North,605001
Puducherry,Pondicherry,Pondicherry University,605014
Puducherry,Pondicherry,Pooranankuppam,605007
Puducherry,Pondicherry,Poothurai,605111
Puducherry,Pondicherry,Rayapudupakkam,605111
Puducherry,Pondicherry,Reddiyarpalayam,605010
Puducherry,Pondicherry,Saram(py),605013
Puducherry,Pondicherry,Sedarapet,605111
Puducherry,Pondicherry,Seliamedu,607402
Puducherry,Pondicherry,Sellipet,605501
Puducherry,Pondicherry,Sri Aurobindo ashram,605002
Puducherry,Pondicherry,Sulthanpet,605110
Puducherry,Pondicherry,Thattanchavady,605009
Puducherry,Pondicherry,Thengaithittu,605004
Puducherry,Pondicherry,Thimmanaickenpalayam,605007
Puducherry,Pondicherry,Tirukkanur,605501
Puducherry,Pondicherry,Vadhanur,605501
Puducherry,Pondicherry,Veerampattinam,605007
Puducherry,Pondicherry,Venkata Nagar,605011
Puducherry,Pondicherry,Villiyanur,605110
Puducherry,Pondicherry,Vimacoundinpaleam,605009
Puducherry,Pondicherry,Viranam,605106
Puducherry,Pondicherry,Yanam,533464
