State,District,Area,Pincode,,,,,,
Tamilnadu,Villupuram,Adanur  ,605402,,,,,,
Tamilnadu,Villupuram,Adavallikuthan  ,604301,,,,,,
Tamilnadu,Villupuram,Akkur  ,604207,,,,,,
Tamilnadu,Villupuram,Akshipakkam  ,604101,,,,,,
Tamilnadu,Villupuram,Alagrammam  ,604302,,,,,,
Tamilnadu,Villupuram,Alampoondi  ,604151,,,,,,
Tamilnadu,Villupuram,Alankuppam  ,604301,,,,,,
Tamilnadu,Villupuram,Alathur  ,604303,,,,,,
Tamilnadu,Villupuram,Anaiyeri  ,605201,,,,,,
Tamilnadu,Villupuram,Anangur  ,604203,,,,,,
Tamilnadu,Villupuram,Anangur  ,605103,,,,,,
Tamilnadu,Villupuram,Ananthapuram  ,605201,,,,,,
Tamilnadu,Villupuram,Anathur  ,604202,,,,,,
Tamilnadu,Villupuram,Andapattu  ,604101,,,,,,
Tamilnadu,Villupuram,Annamangalam  ,604210,,,,,,
Tamilnadu,Villupuram,Anniyur  ,605202,,,,,,
Tamilnadu,Villupuram,Anumandai  ,604303,,,,,,
Tamilnadu,Villupuram,Ariyalur Tirukkai  ,605402,,,,,,
Tamilnadu,Villupuram,Ariyur  ,605102,,,,,,
Tamilnadu,Villupuram,Arpisampalayam  ,605108,,,,,,
Tamilnadu,Villupuram,Arugavur  ,604203,,,,,,
Tamilnadu,Villupuram,Asokapuri  ,605203,,,,,,
Tamilnadu,Villupuram,Athipakkam  ,604207,,,,,,
Tamilnadu,Villupuram,Athipattu  ,604152,,,,,,
Tamilnadu,Villupuram,Athiyur  ,605201,,,,,,
Tamilnadu,Villupuram,Athiyur Thiruvadi  ,605401,,,,,,
Tamilnadu,Villupuram,Attur  ,604001,,,,,,
Tamilnadu,Villupuram,Auroville  ,605101,,,,,,
Tamilnadu,Villupuram,Avalurpet  ,604201,,,,,,
Tamilnadu,Villupuram,Avanipur  ,604101,,,,,,
Tamilnadu,Villupuram,Avarapakkam  ,604001,,,,,,
Tamilnadu,Villupuram,Aviyur  ,604203,,,,,,
Tamilnadu,Villupuram,Ayyanthoppu  ,604001,,,,,,
Tamilnadu,Villupuram,Ayyur Agaram  ,605601,,,,,,
Tamilnadu,Villupuram,Brahmadesam  ,604301,,,,,,
Tamilnadu,Villupuram,Brahmadesam  ,605203,,,,,,
Tamilnadu,Villupuram,Chellapiratti  ,604210,,,,,,
Tamilnadu,Villupuram,Chendur  ,604302,,,,,,
Tamilnadu,Villupuram,Chinnababusamudram  ,605102,,,,,,
Tamilnadu,Villupuram,Chinnanerkunam  ,604302,,,,,,
Tamilnadu,Villupuram,Chinthamani  ,605601,,,,,,
Tamilnadu,Villupuram,Coudapakkam  ,605502,,,,,,
Tamilnadu,Villupuram,Dadapuram  ,604207,,,,,,
Tamilnadu,Villupuram,Devadanampettai  ,604151,,,,,,
Tamilnadu,Villupuram,Devandavadi  ,604208,,,,,,
Tamilnadu,Villupuram,Devanur  ,604208,,,,,,
Tamilnadu,Villupuram,Eachur  ,604203,,,,,,
Tamilnadu,Villupuram,Endiyur  ,604001,,,,,,
Tamilnadu,Villupuram,Eraiyanur  ,604001,,,,,,
Tamilnadu,Villupuram,Eraiyur  ,604304,,,,,,
Tamilnadu,Villupuram,Eyyakunam  ,604204,,,,,,
Tamilnadu,Villupuram,Eyyal  ,604204,,,,,,
Tamilnadu,Villupuram,Gengarampalayam  ,605108,,,,,,
Tamilnadu,Villupuram,Gingee  ,604202,,,,,,
Tamilnadu,Villupuram,Gingee Bazaar  ,604202,,,,,,
Tamilnadu,Villupuram,Guduvampoondi  ,604208,,,,,,
Tamilnadu,Villupuram,Hemerjickx Cente  ,605111,,,,,,
Tamilnadu,Villupuram,Idapattu  ,604201,,,,,,
Tamilnadu,Villupuram,Illodu  ,604210,,,,,,
Tamilnadu,Villupuram,Jayankondam  ,604202,,,,,,
Tamilnadu,Villupuram,Kadali  ,604210,,,,,,
Tamilnadu,Villupuram,Kadambur  ,604206,,,,,,
Tamilnadu,Villupuram,Kadaperikuppam  ,605502,,,,,,
Tamilnadu,Villupuram,Kakkanur  ,605402,,,,,,
Tamilnadu,Villupuram,Kalaiyur  ,604206,,,,,,
Tamilnadu,Villupuram,Kalayampoondi  ,605202,,,,,,
Tamilnadu,Villupuram,Kallapattu  ,605108,,,,,,
Tamilnadu,Villupuram,Kallapuliyur  ,604208,,,,,,
Tamilnadu,Villupuram,Kalleri  ,604151,,,,,,
Tamilnadu,Villupuram,Kallipattu  ,605105,,,,,,
Tamilnadu,Villupuram,Kalpattu  ,605302,,,,,,
Tamilnadu,Villupuram,Kaluperumbakkam  ,605014,,,,,,
Tamilnadu,Villupuram,Kanai  ,605301,,,,,,
Tamilnadu,Villupuram,Kanakkankuppam  ,604151,,,,,,
Tamilnadu,Villupuram,Kandadu  ,604303,,,,,,
Tamilnadu,Villupuram,Kandamangalam  ,605102,,,,,,
Tamilnadu,Villupuram,Kandambakkam  ,605401,,,,,,
Tamilnadu,Villupuram,Kandnamanadi  ,605401,,,,,,
Tamilnadu,Villupuram,Kangiyanur  ,605302,,,,,,
Tamilnadu,Villupuram,Kanjanur  ,605203,,,,,,
Tamilnadu,Villupuram,Kappai  ,604205,,,,,,
Tamilnadu,Villupuram,Kappalampadi  ,604201,,,,,,
Tamilnadu,Villupuram,Kappiyampuliyur  ,605601,,,,,,
Tamilnadu,Villupuram,Kappur  ,605301,,,,,,
Tamilnadu,Villupuram,Karai  ,605201,,,,,,
Tamilnadu,Villupuram,Karattai  ,604154,,,,,,
Tamilnadu,Villupuram,Karnavur  ,604001,,,,,,
Tamilnadu,Villupuram,Karuvakshi  ,605201,,,,,,
Tamilnadu,Villupuram,Karuvampakkam  ,604207,,,,,,
Tamilnadu,Villupuram,Katrambakkam  ,605109,,,,,,
Tamilnadu,Villupuram,Kattalai  ,604001,,,,,,
Tamilnadu,Villupuram,Katterikuppam  ,605502,,,,,,
Tamilnadu,Villupuram,Kattusiviri  ,604207,,,,,,
